地點,氣象項目,開始時間,結束時間,數值
基隆市,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰陣雨或雷雨
基隆市,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,晴時多雲
基隆市,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,100
基隆市,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
基隆市,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,15
基隆市,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,15
基隆市,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,寒冷至稍有寒意
基隆市,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,寒冷至稍有寒意
基隆市,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,20
基隆市,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,18
臺北市,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰陣雨或雷雨
臺北市,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,多雲
臺北市,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,90
臺北市,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
臺北市,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,16
臺北市,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,16
臺北市,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,稍有寒意至舒適
臺北市,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,稍有寒意
臺北市,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,22
臺北市,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,21
新北市,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰陣雨或雷雨
新北市,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,陰時多雲
新北市,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,100
新北市,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
新北市,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,16
新北市,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,16
